input_text,target_text
מתי נשרפה הספריה של אלכסנדריה,48.0 bc (date)
למי יש את המדינה הכי הגדולה בעולם,רוסיה
מי כתב את i don't wanna talk about it,דני וויטן
מי המנהל של טקסס ריינג'רס,כריס וודוורד
מי עשה הכי הרבה הקפות שלמות ב home run derby,פיט אלונסו
מה הקזינו העתיק ביותר ברצועת לאס וגאס,פלמינגו לאס וגאס
מי היה ראש הממשלה הראשון של תאילנד,פרייה מנופקון ניטיתדה
מהי אוכלוסיית סצנקטאדי ניויורק,65625.0
איזה דמות מגלם ואן דיזל במהיר ועצבני,דומיניק טורטו
האם אריזונה היא מדינה אדומה או מדינה כחולה,אדום
מי שר את,שירלי באסי
sweet for my sweet sugar for my honey מי שר,המחפשים
מי מככב במחפש צרות,ג'פרי לואיס
מי כתב את you are so beautiful to me,בילי פרסטון
מי מחזיק בשיא stolen bases,ריקי הנדרסון
כמה רחוקה פלורנס שבאריזונה מפניקס שבאריזונה,63.0 מיל
מתי החלו המטס כנבחרת,1962
מתי נוצר הסרט הקוסם מארץ עוץ,1939-08-25
האם יש צבע שמתחיל ב- x,yes
מי היה הנשיא הראשון שנולד בארצות הברית,מרטין ואן ביורן
once upon a time in the west מי שר,אניו מוריקונה
מהי השנה האחרונה שפורד ייצרו את הריינג'ר,2019
איזו קבוצה זכתה בהכי הרבה תארים ב- NBA,בוסטון סלטיקס
כמה נצחונות היו ל Dodgers העונה,106.0
מי שר את heavy is the head that wears the crown,להקת זאק בראון
מתי ניגנו החיפושיות באצטדיון shea,1965-08-15
זכו בסופרבול בראשון שלהם cowboys מתי ה,1972-01-16
איזה מדינה זכתה בהכי הרבה גביעי עולם,ברזיל
מי שר את השיר יש שאוהבים את זה חם,תחנת הכוח
מי כתב את השיר i'm so glad,סקיפ ג'יימס
מי אמר speak softly and carry a big stick,תאודור רוזוולט
i spy מי כיכב בתוכנית הטלוויזיה,קנת' טובי
מי שיחקה את audra barkley ב the big valley,לינדה אוונס
מה שמות סדרת משחקי הרעב,משחקי הרעב
מי שיחק את bobby ray ב sweet home alabama,אית'ן אמברי
על מה זכתה אמה סטון באוסקר,פרס אוסקר לשחקנית הטובה ביותר
מי שר את השיר,אר. קלי
את מי נצחו ה patriots בסופרבול האחרון,לוס אנג'לס ראמס
מי שר את מי יסיע אותך הביתה,The Cars
she wears my ring מי שר את השיר,סולומון קינג
מתי הוואי ואלסקה הצטרפו לאיחוד,1959
עבור מי האני באדג'ר משחקת באן-אף-אל,קנזס סיטי צ'יפס
מי שיחקה את דודה בי בהמופע של אנדי גריפית',פרנסס באווייר
מי שזכה בטניס הפתוח באר הברית בשנת 2016,סטאן ואוורינקה
מי שר את if you got the money honey i got the time,וילי נלסון
מתי משחקים ה texas rangers באליפות העולם,2010
יש הכי הרבה טבעות סופרבול NFL-לאיזה קבוצה ב,פיטסבורג סטילרס
מי שר i won't let the sun go down on me,ניק קרשו
i pray for you מי שר שיר,Jaron and the Long Road to Love
philadelphia eagles של running backמי הוא ה,מיילס סאנדרס
מי זכה בדוגמנית הצמרת הבאה של אמיריקה בעונה 16,בריטני קלין
מתי הניו יורק יאנקיז זכו בפעם האחרונה בסדרה העולמית,2009
it's been such a long time מי שר,בוסטון
מי מחזיק בשיא של זריקות עונשין שנעשו ברצף,טום אמברי
למי יש הכי הרבה גירושים בעולם,האיים המלדיביים
נבנתה notre dame מתי כנסיית,1163
בבת הים הקטנה kiss the girl מי שר,אשלי טיסדייל
מי הם המדינות שנוהגים בהם בצד השמאלי של הרחוב,הממלכה המאוחדת
מי מגלם את דייווי ג'ונס בשודדי הקאריביים,ביל ניי
לצאת  who let the dogs out מתי היה,2000-07-26
מי שר את,Tears for Fears
מה תוחלת החיים של פודל צרפתי,12.0 15.0 שנה
מתי מתחיל המשחק הראשון של ה nfl,2019-09-05
מי קלע הכי הרבה נקודת במשחק בודד באן בי איי,וילט צ'מברלין
מי שר את השיר  לילה גשום בג'ורג'יה,ברוק בנטון
אילו מדינות נמצאות באזור זמן המזרחי,ג'ורג'יה
"מתי נכתבה מגילת הזכויות של ארה""ב",1791
מי משחק ספנסר הייסטינגס בשקרניות קטנות,טרויאן בליסאריו
מי כתב את השיר i won't back down,טום פטי
מתייצא הסרט,2000-08-04
כמה wetherspoons יש באנגליה,900.0
מהי המהירות המותרת על German Autobahn,80.0 מיל per hour
מי כתב את הספר חמישים גוונים של אפור,אי. אל. ג'יימס
מי אמר a house divided cannot stand,אברהם לינקולן
איפה צולם הסרט היי סקול מיוזיקל,אמריקה הצפונית
מה הוא האיבר המרכזי במערכת העצבים,מוח
כמה רחוקה ברנס אורגון מבנד אורגון,130.6 מיל
מי שיחק את הג׳וקר המקורי בסרטי באטמן,סזאר רומרו
as the world turnsב frannie  מי משחק את,ג'וליאן מור
מי שר את השיר i got the magic in me,B.o.B
למי יש הכי הרבה נקודות בהיסטוריה של ה- nba,כרים עבדול-ג'באר
מי שר את השיר life is a highway,טום קוקריין
כמה זמן לקח לאפולו 11 להגיע לירח,76.0 שעה
באיזו שנה מתרחש הסרט משחקי רחוב,1962
האם לתאומים יתכן שיהיו אבות שונים,yes
רשמו את שבעת פלאי העולם המודרני,החומה הגדולה של סין
מי שר את בית השמש העולה,The Animals
מי גילם את האבא ב my three sons,פרד מקמורי
מי שיחק בסרט חמישים גוונים של אפור,ג'ניפר אילי
מי שר את השיר אני יכול לראות בבירור עכשיו שהגשם פסק,ג'ימי קליף
מי מת בסרט 47 מטר,קייט אוסטן
מהם ארבעת אזורי הזמן בארצות הברית,AST
מה המחוז הגדול ביותר בניו מקסיקו,מחוז קאטרון
מהו הזמן קדנציה של חבר קונגרס בארצות הברית,2.0 שנה
מי שר ראשון את השיר can't help falling in love,אלביס פרסלי
מתי הייתה הפעם האחרונה שה bruins  זכו בגביע הסטנלי,2011
מה התאריכים של מלחמת העצמאות של ארצות הברית,1783-09-03
מי את לא יכול להסיר את עיניי ממך,פרנקי ואלי
מה הדרגה הכי גבוהה בצבא,גנרל הצבא
באיזה דגל יש פסים לבנים ואדומים ירוקים,איטליה
מי גלם את דמותו של סם בשר הטבעות,שון אסטין
מתי התרחשה מלחמת שבע השנים,1763
מי שר את השיר you really got a hold on me,הביטלס
מי זכה בטניס הפתוח האוסטרלי השנה,נובאק ג'וקוביץ'
איפה ההופעה הבחורה החדשה מתרחשת,ארצות הברית
באיזו שעה החלה הפלישה לנורמנדי,1944-06-06
מי הם חברי להקת האיגלס,ג'ו וולש
i feel the earth move under my feet מי שר,קרול קינג
מי היה המנהיג של צבא הקונפדרציה,ג'פרסון דייוויס
מי שר את השיר mama don't let your babies grow up to be cowboys,וילי נלסון
you're gonna miss my loving מי שר,לו רולס
מהסרט ליגו everything is awesome מי שר את,טיגן ושרה
מי היה המנהיג של בני החירות,סמואל אדמס
מי הבמאי של הסרט מלחמת הכוכבים החדש,ג'יי ג'יי אברהמס
מי יצר את שיר הנושא ל phineas and ferb,Bowling for Soup
מי שר if loving you is wrong i don't want to be right,לותר אינגרם
כמה כרישים לבנים יש בעולם,3500.0
מי שר את השיר what's going on,4 נון בלונדס
מי הבקיע הכי הרבה גולים בליגת האנגלית,אלן שירר
כמה ספרים יש בסדרת משחקי הכס,5.0
מתי העונה החדשה של סאות'פארק מתחילה,2019-09-25
tv show route 66 מי היו הכוכבים של,ג'ורג' מאהריס
מי שר את you've got your troubles i've got mine,הון
על פי שאי גינס לאיזה סופר יש הכי הרבה עבודות מפורסמות,ל. רון האברד
מי שר את good morning america how are you,ארלו גאת'רי
מה המרחק בין קנזס סיטי מיזורי לקנזס סיטי קנזס,3.5 6.9 מיל
מי שר את,שקית סוכר
i can't live if living is without you מי שר,הארי נילסון
מה הגובה הממוצע של גבר בצרפת,179.7 סנטימטר
מי היה הנשק השימושי ביותר במלחמה המהפכנית,בראון בס
מה שמות הדמויות במפרץ ההרפתקאות,מרדף
מה הבניין הגבוה ביותר במדינת וושינגטון,קולומביה סנטר
מתי  הופיע star wars land  בדיסנילנד,2019-08-29
מי שר את i saw mommy kissing santa claus,חמישיית הג'קסונים
we built this city מי כתב את השיר,ברני טופין
nanny and the professorמי שיחק את פרודנס ב,קים ריצ'רדס
מי שיחק בסרט האיש על הירח,סם ווטרסטון
מתי יצא בנדי ומכונת הדיו,2018-10-27
מה שמות הסוסים בהסיפור שאינו נגמר,ארטקס
מתי יצא הסרט לגו נינג'גו,2017-09-16
מי שר את i can't stop the feeling,ג'סטין טימברלייק
מי זכה ב nfl rookie של השנה,סקון בארקלי
כמה צילינדרים יש לטויוטה קאמרי,4.0
